14.00000  -2000.00000  15.91962 6281.55697
14.00000  -1980.00000  15.95505 6267.60610
14.00000  -1960.00000  15.94632 6271.04130
14.00000  -1940.00000  15.97621 6259.30877
14.00000  -1920.00000  15.98191 6257.07440
14.00000  -1900.00000  15.98355 6256.43435
14.00000  -1880.00000  16.00380 6248.51403
14.00000  -1860.00000  16.05869 6227.15801
14.00000  -1840.00000  16.01610 6243.71726
14.00000  -1820.00000  16.02737 6239.32491
14.00000  -1800.00000  16.03578 6236.05462
14.00000  -1780.00000  16.05907 6227.01066
14.00000  -1760.00000  16.04240 6233.48127
14.00000  -1740.00000  16.08240 6217.97935
14.00000  -1720.00000  16.08512 6216.92789
14.00000  -1700.00000  16.07494 6220.86303
14.00000  -1680.00000  16.06481 6224.78766
14.00000  -1660.00000  16.08244 6217.96195
14.00000  -1640.00000  16.11635 6204.87697
14.00000  -1620.00000  16.12008 6203.44316
14.00000  -1600.00000  16.14384 6194.31121
14.00000  -1580.00000  16.14549 6193.67817
14.00000  -1560.00000  16.14884 6192.39524
14.00000  -1540.00000  16.13608 6197.29395
14.00000  -1520.00000  16.15412 6190.36933
14.00000  -1500.00000  16.16754 6185.23479
14.00000  -1480.00000  16.21476 6167.22238
14.00000  -1460.00000  16.24114 6157.20135
14.00000  -1440.00000  16.17745 6181.44392
14.00000  -1420.00000  16.21250 6168.08019
14.00000  -1400.00000  16.21653 6166.54734
14.00000  -1380.00000  16.20944 6169.24459
14.00000  -1360.00000  16.22051 6165.03427
14.00000  -1340.00000  16.21992 6165.25852
14.00000  -1320.00000  16.24771 6154.71350
14.00000  -1300.00000  16.26201 6149.30135
14.00000  -1280.00000  16.25779 6150.89751
14.00000  -1260.00000  16.27278 6145.22960
14.00000  -1240.00000  16.31034 6131.08004
14.00000  -1220.00000  16.29808 6135.69394
14.00000  -1200.00000  16.29721 6136.02148
14.00000  -1180.00000  16.32467 6125.69810
14.00000  -1160.00000  16.32111 6127.03237
14.00000  -1140.00000  16.33924 6120.23383
14.00000  -1120.00000  16.34726 6117.23310
14.00000  -1100.00000  16.34561 6117.84873
14.00000  -1080.00000  16.36834 6109.35501
14.00000  -1060.00000  16.34628 6117.60172
14.00000  -1040.00000  16.37042 6108.57690
14.00000  -1020.00000  16.38020 6104.93343
14.00000  -1000.00000  16.41530 6091.87770
14.00000  -980.00000  16.40438 6095.93292
14.00000  -960.00000  16.40262 6096.58701
14.00000  -940.00000  16.40155 6096.98288
14.00000  -920.00000  16.41073 6093.57414
14.00000  -900.00000  16.46325 6074.13482
14.00000  -880.00000  16.43513 6084.52747
14.00000  -860.00000  16.44230 6081.87419
14.00000  -840.00000  16.44207 6081.95927
14.00000  -820.00000  16.44309 6081.58199
14.00000  -800.00000  16.44768 6079.88482
14.00000  -780.00000  16.46849 6072.20028
14.00000  -760.00000  16.49397 6062.81991
14.00000  -740.00000  16.49354 6062.97981
14.00000  -720.00000  16.49410 6062.77396
14.00000  -700.00000  16.50927 6057.20118
14.00000  -680.00000  16.50406 6059.11515
14.00000  -660.00000  16.50387 6059.18491
14.00000  -640.00000  16.50529 6058.66545
14.00000  -620.00000  16.50955 6057.09845
14.00000  -600.00000  16.50838 6057.53140
14.00000  -580.00000  16.54474 6044.21707
14.00000  -560.00000  16.51891 6053.66819
14.00000  -540.00000  16.52660 6050.85135
14.00000  -520.00000  16.54312 6044.81079
14.00000  -500.00000  16.53892 6046.34402
14.00000  -480.00000  16.54886 6042.71048
14.00000  -460.00000  16.56882 6035.43464
14.00000  -440.00000  16.56217 6037.85797
14.00000  -420.00000  16.55476 6040.55690
14.00000  -400.00000  16.58014 6031.31034
14.00000  -380.00000  16.57758 6032.24537
14.00000  -360.00000  16.59129 6027.26070
14.00000  -340.00000  16.60314 6022.95710
14.00000  -320.00000  16.58391 6029.94107
14.00000  -300.00000  16.61713 6017.88817
14.00000  -280.00000  16.63296 6012.16080
14.00000  -260.00000  16.58443 6029.75018
14.00000  -240.00000  16.63532 6011.30606
14.00000  -220.00000  16.63802 6010.33056
14.00000  -200.00000  16.63495 6011.44158
14.00000  -180.00000  16.61918 6017.14405
14.00000  -160.00000  16.62908 6013.56359
14.00000  -140.00000  16.61977 6016.92863
14.00000  -120.00000  16.61808 6017.54053
14.00000  -100.00000  16.60890 6020.86652
14.00000  -80.00000  16.60177 6023.45594
14.00000  -60.00000  16.62378 6015.48084
14.00000  -40.00000  16.64925 6006.27656
14.00000  -20.00000  16.63171 6012.60904
14.00000  0.00000  16.62127 6016.38744
14.00000  20.00000  16.62209 6016.08883
14.00000  40.00000  16.61979 6016.92320
14.00000  60.00000  16.62136 6016.35486
14.00000  80.00000  16.62205 6016.10330
14.00000  100.00000  16.63557 6011.21573
14.00000  120.00000  16.62049 6016.66979
14.00000  140.00000  16.60576 6022.00682
14.00000  160.00000  16.61080 6020.17964
14.00000  180.00000  16.58579 6029.25758
14.00000  200.00000  16.60068 6023.84781
14.00000  220.00000  16.60328 6022.90450
14.00000  240.00000  16.60784 6021.25443
14.00000  260.00000  16.59010 6027.69121
14.00000  280.00000  16.59766 6024.94569
14.00000  300.00000  16.60622 6021.84182
14.00000  320.00000  16.59881 6024.53008
14.00000  340.00000  16.57206 6034.25283
14.00000  360.00000  16.55526 6040.37629
14.00000  380.00000  16.58528 6029.44116
14.00000  400.00000  16.57227 6034.17819
14.00000  420.00000  16.56586 6036.50941
14.00000  440.00000  16.55621 6040.02969
14.00000  460.00000  16.55533 6040.34893
14.00000  480.00000  16.53239 6048.73405
14.00000  500.00000  16.55609 6040.07347
